Years,Terms per year,Matriculation and Student Activity Fee,Matriculation Fee,Tuition Fee,SB 1907 Tuition,Student Service Fee,Student Activity Fee,Optional Fee,General Fees,Building Use Fee,Student Center Fee,Computer Use Fee,Library Incidental Fee,Library Fee,Publication Incidental Fee,Publication Fee,Course Incidental Fee,Course Fee,Registration Fee,"Library Deposit (once per year, refundable)","Library and Textbook Deposit (once per year, refundable)",General Property Deposit,Hospital Fee,Medical Service Fee,Student Health Service Fee,International Education Fee,"""Average of Resident Tuition and Fees"" THECB",,CPI Annual Avg,Rate of Inflation,Federal Minimum Wage,,Amount of Types of Fees,Total of Fees per year,Hours at minimum wage to pay fees
1923,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0,,,1,36,
1925,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,2.3,,,1,36,
1927,3,,10,,,,4,,,,,,,,,,,,,,,,,,,,,,17.4,-0.6,,,2,42,
1929,3,,10,,,,,5,,,,,,,,,,,,3,,,,,,,,,17.1,-1.7,,,3,54,
1931,3,,10,,,,,5,,,,,,,,,,,,,3,,1,,,,,,15.2,-11.1,,,4,57,
1933,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,,,,,,13,-14.5,,,3,71,
1934,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,,,,,,13.4,3.1,,,3,71,
1935,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,,,,,,13.7,2.2,,,3,71,
1936,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,,,,,,13.9,1.5,,,3,71,
1937,2,,25,,,,,7.5,,,,,,,,,,,,3,,,,,,,,,14.4,3.6,,,3,71,
1938,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,,,,,,14.1,-2.1,0.25,,3,71,284
1939,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,2,,,,,13.9,-1.4,0.3,,4,75,250
1940,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,2,,,,,14,0.7,0.3,,4,75,250
1941,2,,,25,,,,7.5,,,,,,,,,,,,3,,,2,,,,,,14.7,5,0.3,,4,75,250
1942,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,2,,,,,16.3,10.9,0.3,,4,75,250
1943,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,2,,,,,17.3,6.1,0.3,,4,75,250
1944,2,,25,,,,,7.5,,,,,,,,,,,,,3,,,2,,,,,17.6,1.7,0.3,,4,75,250
1946,2,,25,,,,10,,,,,,,,,,,,,3,,,,2,,,,,19.5,10.8,0.4,,4,80,200
1948,2,,25,,,15,,,,,,,,,,,,,,,3,,,,,,,,24.1,23.6,0.4,,3,86,215
1950,2,,25,,,15,,,,,,,,,,,,,,,3,,,,,,,,24.1,0,0.75,,3,86,114.6666667
1951,2,,25,,,15,,,,,,,,,,,,,,,3,,,,,,,,26,7.9,0.75,,3,86,114.6666667
1952,2,,25,,,15,,,,,,,,,,,,,,,3,,,,,,,,26.5,1.9,0.75,,3,86,114.6666667
1953,2,,,25,,15,,,,4,,,,,,,,,,3,,,,,,,,,26.7,0.8,0.75,,4,94,125.3333333
